time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,4.35E-05
,,,,,,,,,
0,309.5850394,300.2779014,294.7715513,290.02544,287.9011583,286.3414065,285.4618202,,
1.37,308.9184295,300.6911502,294.8529486,290.3100748,287.9618785,286.4150416,285.5570683,,
2.75,308.2686089,300.8719643,294.8952279,290.4384263,287.9920405,286.4492568,285.6002402,,
4.12,307.642544,300.9939971,294.9421169,290.5382823,288.0225043,286.4784247,285.634371,,
5.49,307.0342544,301.0736731,294.9979057,290.6257121,288.0566518,286.5067189,285.6647594,,
6.87,306.4385721,301.1173906,295.0610161,290.7064782,288.0943841,286.5352203,285.6930615,,
8.24,305.8633539,301.1293504,295.1276201,290.7819528,288.134304,286.5637533,285.719398,,
9.61,305.3035447,301.1141646,295.1955807,290.8542142,288.175976,286.5926088,285.7441994,,
10.99,304.7546123,301.0751044,295.2633122,290.9246831,288.2192179,286.6220325,285.7677384,,
12.36,304.2239572,301.0158951,295.3282251,290.9929104,288.2630557,286.6515972,285.7897433,,
13.73,303.7070419,300.9390414,295.3896138,291.0597476,288.3075607,286.6814915,285.810449,,
15.11,303.1997682,300.8461516,295.446996,291.1258403,288.3528951,286.7118984,285.830052,,
16.48,302.7090473,300.7405969,295.4989123,291.1902891,288.3982795,286.7423299,285.84833,,
17.85,302.2307441,300.6234998,295.5453743,291.2535593,288.4439472,286.772954,285.8654929,,
19.23,301.7611103,300.4954128,295.5863947,291.3160319,288.4901569,286.8039439,285.8817185,,
20.6,301.3065824,300.3595202,295.6212381,291.3767036,288.5361706,286.8348,285.8968361,,
21.97,300.8633642,300.2160834,295.6501781,291.4359187,288.5822588,286.8656995,285.9110292,,
23.35,300.4280072,300.0650005,295.6733898,291.4939725,288.6286954,286.8968241,285.9244528,,
24.72,300.0065004,299.9093605,295.6906207,291.549905,288.6747441,286.9276827,285.9369704,,
26.09,299.5953444,299.748881,295.7021856,291.6040303,288.7206771,286.9584644,285.9487377,,
27.47,299.1913552,299.5830475,295.7082644,291.6566183,288.7667623,286.9893596,285.9598853,,
28.84,298.8001048,299.41489,295.7089477,291.7068133,288.8122652,287.01989,285.9703015,,
30.21,298.4183588,299.243776,295.7044923,291.7549218,288.8574534,287.0502519,285.980116,,
31.59,298.0431709,299.0689263,295.6950147,291.8012014,288.902586,287.0806387,285.9894381,,
32.96,297.6797257,298.8933215,295.6808623,291.844923,288.9469421,287.1105857,285.998174,,
34.33,297.3250284,298.7161007,295.6621951,291.8863833,288.9907856,287.1402907,286.0064316,,
35.71,296.9763485,298.5363145,295.6390414,291.9258238,289.0343669,287.1699457,286.0143019,,
37.08,296.6385114,298.3568919,295.6119474,291.962647,289.076993,287.1990998,286.0217044,,
38.45,296.3087405,298.1768233,295.580967,291.9971306,289.1189236,287.2279487,286.0287285,,
39.83,295.9845021,297.9950515,295.5460355,292.0294928,289.160401,287.2566796,286.0354502,,
41.2,295.6702888,297.8144472,295.507857,292.0592642,289.2007713,287.284857,286.0417984,,
42.57,295.3635236,297.6339065,295.4663821,292.0866949,289.2402889,287.3126718,286.0478473,,
43.95,295.0618536,297.452306,295.4214589,292.1119725,289.2791866,287.3403048,286.0536601,,
45.32,294.7694627,297.2724516,295.3739175,292.1347494,289.3168582,287.3673378,286.0591729,,
46.69,294.483957,297.0931821,295.3236149,292.1552408,289.3535502,287.3939554,286.0644469,,
48.07,294.2031499,296.9133379,295.2703207,292.1735995,289.3894841,287.4203308,286.0695348,,
49.44,293.9309392,296.7356531,295.2149664,292.189591,289.4241069,287.4460654,286.0743777,,
50.81,293.6650997,296.558936,295.1573266,292.2033916,289.4576544,287.4713368,286.0790266,,
52.19,293.4035978,296.3820116,295.0971025,292.2151161,289.4903342,287.4963092,286.0835252,,
53.56,293.150066,296.2075373,295.0353066,292.2246348,289.5216504,287.5206064,286.0878185,,
54.93,292.9024347,296.0343098,294.9716429,292.2320827,289.5518249,287.5443977,286.091949,,
56.31,292.6588114,295.8611538,294.9057544,292.2375356,289.5810492,287.5678381,286.0959528,,
57.68,292.4225826,295.6906458,294.8387177,292.2409599,289.6088862,287.5905755,286.0997786,,
59.05,292.1918222,295.5215852,294.7701768,292.2424487,289.6355413,287.6127704,286.1034615,,
60.43,291.9647686,295.3528073,294.6997264,292.2420392,289.6611878,287.6345677,286.1070315,,
61.8,291.7445793,295.1868048,294.6284928,292.2397853,289.6854481,287.6556414,286.1104406,,
63.17,291.5294615,295.0223901,294.5560702,292.2357389,289.7085086,287.6761422,286.1137178,,
