time (s),temp0,temp1,temp2,temp3,temp4,temp5,temp6,alpha value:,3.42E-05
,,,,,,,,,
0,316.1394373,302.0326613,294.8451009,290.4633156,287.9018218,286.3407834,285.2120586,,
1.37,314.7422685,302.7355782,295.1284936,290.6474855,288.003017,286.384319,285.3263699,,
2.75,313.4164459,303.0475688,295.2609468,290.7325109,288.0498255,286.4051009,285.3780743,,
4.12,312.169464,303.2625455,295.3751026,290.8027907,288.0887771,286.424264,285.4176937,,
5.5,310.9768071,303.4087131,295.4895895,290.870177,288.12642,286.4448953,285.4520745,,
6.87,309.8510283,303.4926824,295.6053668,290.9364902,288.1636948,286.466997,285.482856,,
8.24,308.7793121,303.522723,295.722115,291.0030533,288.2012726,286.4904729,285.5112653,,
9.62,307.750934,303.5051725,295.8386208,291.0706635,288.2395617,286.5152216,285.5380011,,
10.99,306.7777088,303.4465053,295.9510972,291.1384622,288.2780676,286.5406517,285.5629818,,
12.36,305.849235,303.3523732,296.0585596,291.2069496,288.3171041,286.5667641,285.5866065,,
13.74,304.9566717,303.2267735,296.1602178,291.2765568,288.3569893,286.5936234,285.6091774,,
15.11,304.1106283,303.0759704,296.2534326,291.3461243,288.3971629,286.6207385,285.6304792,,
16.49,303.2965871,302.9016969,296.3387049,291.4164552,288.4382202,286.6484252,285.6509168,,
17.86,302.5243573,302.709885,296.4142196,291.4862759,288.4795653,286.6762189,285.6702752,,
19.23,301.7860663,302.5023038,296.4802781,291.555815,288.5214822,286.7042683,285.6887789,,
20.61,301.0749587,302.2798797,296.5370939,291.625279,288.5642609,286.7327391,285.7066217,,
21.98,300.3997253,302.048103,296.58383,291.6933634,288.6072481,286.7611846,285.7236079,,
23.36,299.7489791,301.805589,296.6212748,291.7607689,288.6510272,286.7899914,285.7400453,,
24.73,299.1307282,301.5575824,296.649083,291.8262422,288.6949096,286.8187181,285.7557514,,
26.1,298.5388218,301.3038597,296.6678263,291.8900209,288.7391483,286.8475527,285.7709,,
27.48,297.9679572,301.0438397,296.6778634,291.9523157,288.7839987,286.8766887,285.7856456,,
28.85,297.4252168,300.7824494,296.6794052,292.0120135,288.8287334,286.9056876,285.7998216,,
30.22,296.9052554,300.5188271,296.6729353,292.0693889,288.8735946,286.9347452,285.8135804,,
31.6,296.4034561,300.2519181,296.6587187,292.124674,288.9188243,286.9640593,285.8270598,,
32.97,295.9260842,299.9863671,296.637367,292.1769319,288.9636785,286.9931905,285.8401037,,
34.34,295.4684774,299.7209186,296.6092099,292.226461,289.0083958,287.0223362,285.8528473,,
35.72,295.0266015,299.454233,296.5743751,292.2735022,289.0532111,287.0516937,285.8654148,,
